1,Context,Response
2,What does it mean to have a mental illness?,"Mental illnesses are health conditions that disrupt a person's thoughts, emotions, relationships, and daily functioning."
3,What does it mean to have a mental health?,"Mental health is about your emotional, psychological, and social well-being. It affects how you think, feel, and act."
4,Who does mental illness affect?,"Mental illness does can affect anyone, regardless of gender, age, income, social status, ethnicity, religion, sexual orientation, or background."
5,What are some of the warning signs of mental illness?,Symptoms of mental health disorders vary depending on the type and severity of the condition.
6,Can people with mental illness recover?,"When healing from mental illness, early identification and treatment are of vital importance. "
7,What should I do if I know someone who appears to have the symptoms of a mental disorder?,We encourage those with symptoms to talk to their friends and family members and seek the counsel of a mental health professional.
8,How can I find a mental health professional for myself or my child?,Feeling comfortable with the professional you or your child is working with is critical to the success of the treatment.
9,What treatment options are available?,Different treatment options are available for individuals with mental illness.
10,"If I become involved in treatment, what do I need to know?",It is important to be as involved and engaged in the treatment process as possible.
11,What is the difference between mental health professionals?,"There are many types of mental health professionals. The variety of providers and their services may be confusing. Each have various levels of education, training, and may have different areas of expertise. Finding the professional who best fits your needs may require some research."
12,How can I find a mental health professional right for my child or myself?,Feeling comfortable with the professional you or your child is working with is critical to the success of your treatment. Finding the professional who best fits your needs may require some research.
13,If I become involved in treatment what do I need to know?,It is important to continue involvement in the treatment process as much as possible.
14,Where else can I get help?,"family member, friend, clergy, healthcare provider, or other professionals"
15,What should I know before starting a new medication?,The best source of information regarding medications is the physician prescribing them
16,"If I feel better after taking medication, does this mean I am ""cured"" and can stop taking it?",Create a plan for switching to a different treatment that will be a better fit.
17,How can I get help paying for my medication?,Visit Healthfinder.gov to learn more.
18,Where can I go to find therapy,Several different types of treatment and therapy that can help.
19,Where can I learn about types of mental health treatment?,"Mental health conditions are often treated with medication, therapy or a combination of the two."
20,What are the different types of mental health professionals?,There are many types of mental health professionals. Finding the right one for you may require some research.
21,Where can I go to find a support group?,Many people find peer support a helpful tool that can aid in their recovery.
22,Where can I go to find inpatient care?,"Inpatient care can help people stabilize on new medications, adjust to new symptoms, or get the help they need."
23,Where can I go to find other local services?,"There are likely plenty of resources that can be used to help you find mental health treatment in your community. These resources can help you find the right therapist, and enable you to better understand viable treatment options and the treatment process."
24,Where can I learn more information about clinical trials?,"Sometimes, consumers of mental health services may consider participating in a research study when they have not experienced improvement despite having tried a variety of medications and treatments. Research studies (also known as clinical trials) may involve the use of new medications or new treatment approaches whose safety and effectiveness is being tested. While we support innovation in the field, consumers should be cautioned that there are risks associated with clinical trials – make sure you’re aware of them before you enroll."
25,Where can I learn more information about creating a Psychiatric Advance Directive?,"Similar to a medical advance directive or a health care power of attorney, a psychiatric advance directive is a legal document completed in a time of wellness that provides instructions regarding treatment or services one wishes to have or not have during a mental health crisis, and may help influence his or her care."
26,What is mental health?,"We all have mental health which is made up of our beliefs, thoughts, feelings and behaviours."
27,What do I do if the support doesn’t help?,"It can be difficult to find the things that will help you, as different things help different people. It's important to be open to a range of approaches and to be committed to finding the right help and to continue to be hopeful, even when some things don't work out."
28,Can you prevent mental health problems?,"We can all suffer from mental health challenges, but developing our wellbeing, resilience, and seeking help early can help prevent challenges becoming serious."
29,Are there cures for mental health problems?,"It is often more realistic and helpful to find out what helps with the issues you face. Talking, counselling, medication, friendships, exercise, good sleep and nutrition, and meaningful occupation can all help."
30,What causes mental health problems?,"Challenges or problems with your mental health can arise from psychological, biological, and social, issues, as well as life events."
31,What do I do if I’m worried about my mental health?,"The most important thing is to talk to someone you trust. This might be a friend, colleague, family member, or GP. In addition to talking to someone, it may be useful to find out more information about what you are experiencing. These things may help to get some perspective on what you are experiencing, and be the start of getting help."
32,How do I know if I’m unwell?,"If your beliefs , thoughts , feelings or behaviours have a significant impact on your ability to function in what might be considered a normal or ordinary way, it would be important to seek help."
33,What should I do if I’m worried about a friend or relative?,This may depend on your relationship with them. Gently encouraging someone to seek appropriate support would be helpful to start with.
34,How do I deal with someone telling me what to do?,"Some people may advise you on good evidence of what works with the best of intentions, but it's important to find out what works best for you."
35,Why do I need to keep informed?,"Stay informed during a pandemic! It helps you take action, reduces stress, and builds resilience. But avoid information overload - stick to trusted sources and set limits on your news intake."
36,How can I tell if health information online is reliable?,"Look for information from credible sources like government health agencies, universities, or reputable health organizations. Check for references and avoid sites manipulating your emotions."
37,Why do I need a plan during a pandemic?,"A plan helps you manage the things you can control, like staying safe, following health measures, and taking care of yourself. It reduces stress from uncertainty by creating a routine, stocking supplies, and figuring out childcare or work changes. It can also help you find financial or mental health support if needed."
38,"How can I find a doctor, psychiatrist, psychologist, or counsellor?",BC: Find a family doctor through the College of Physicians and Surgeons. Psychologists: BC Psychological Assoc. or College of Psychologists. Psychiatrists (usually require referral): College of Physicians and Surgeons. Clinical Counsellors: BC Assoc. of Clinical Counsellors.
39,How can I see a psychiatrist?,"A psychiatrist is a specialist doctor. In BC, you need to ask your doctor for a referral. If you don't see a regular family doctor, you can ask any doctor at a walk-in clinic for a referral. In some cases, you may be able to ""self-refer"" or make an appointment with a mental health program yourself, but that may not get you access to a psychiatrist. Contact your local mental health centre to see what's available in your area. You can search for mental health centres at www.gov.bc.ca/mentalhealth. If you need help finding your local mental health centre, call HealthlinkBC at 811 or visit www.healthlinkbc.ca and use the Find Health Service tool."
40,Can I get help paying for prescription medications?,"Plan G: BC PharmaCare covers some mental health medications for those who can't afford them. Talk to your doctor if interested. \nSchizophrenia Symptoms: \nPositive (add): hallucinations, delusions, uncontrollable movements. \nNegative (take away): lack of emotion, apathy, difficulty speaking/socializing."
41,What is a prodrome?,"Prodrome is the early warning signs of psychosis, a mental illness with symptoms like hallucinations. These signs are vague and treatable if caught early. Seek help if you're concerned about yourself or a loved one's mental health."
42,I’m an adult and I think I might have ADHD. What can I do next?,"Think you might have adult ADHD? Start with your family doctor. Resources and support groups are available from CADDRA, The Centre for ADHD Awareness, Canada, and CHADD Vancouver."
43,What’s the difference between substance use and addiction?,Addiction is misused. Substance use can range from beneficial (celebration wine) to harmful (dependence).  The risk of problems depends on why and how you use a substance. Be mindful of your use and its impact..
44,How can I find help for an alcohol or drug use problem?,"Changing your substance use? Don't go it alone. Talk to a doctor, nurse (HealthLink BC 8-1-1), or a confidential helpline (1-800-663-1441) for support and resources. You got this!"
